number,startLocation,endLocation,intermediateStops
203A,ADIBATLA,KOTI,"['NADARGUL', 'GANDHINAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'LENIN NAGAR', 'BALAPUR', 'DHATU NAGAR', 'PISAL BANDA', 'IS SADAN', 'SAIDABAD', 'MALAKPET', 'CHADARGHAT']"
2203A/R,RAVIRYAL,KOTI,"['WONDERLA X ROAD', 'KONGARA KALAN', 'ADIBATLA', 'CHANAKYAPURI', 'GANDHINAGAR', 'ANJANEYA TOWER', 'BADANGPET', 'UDYOG NAGAR', 'LENIN NAGAR', 'DHATU NAGAR', 'PISAL BANDA', 'IS SADAN', 'SAIDABAD', 'CHADARGHAT']"
204,GANDICHERUVU,KOTI,"['PEDDA AMBERPET', 'HAYATHNAGAR', 'RTC COLONY', 'BHAGYALATHA', 'HIGH COURT COLONY', 'AUTO NAGAR', 'PANAMA', 'CHINTHALKUNTA', 'LB NAGAR', 'NTR NAGAR', 'DWARAKANAGAR', 'KOTHAPET', 'CHAITANYAPURI', 'DILSUKHNAGAR', 'MOOSARAMBAGH', 'MALAKPET', 'CHADARGHAT']"
204U,DILSUKHNAGAR,SANGHI TEMPLE,"['CHAITANYAPURI', 'KOTHAPET', 'DWARAKANAGAR', 'NTR NAGAR', 'LB NAGAR', 'CHINTHALKUNTA', 'PANAMA', 'AUTO NAGAR', 'BHAGYALATHA', 'RTC COLONY', 'PEDDA AMBERPET', 'GANDICHERUVU', 'UPPARIGUDA', 'KOHEDA', 'UMARKHANGUDA']"
205L,ANAJPUR,LB NAGAR,"['MAJEEDPUR X ROAD', 'SURMAIGUDA', 'LASHKARGUDA', 'ABDULLAPURMET', 'GANDIMAISAMMA', 'ORR', 'PEDDA AMBERPET', 'HAYATHNAGAR', 'RTC COLONY', 'BHAGYALATHA', 'HIGH COURT COLONY', 'AUTO NAGAR', 'PANAMA', 'CHINTHALKUNTA']"
208D,DILSUKHNAGAR,HAYATHNAGAR,"['CHAITANYAPURI', 'KOTHAPET', 'DWARAKANAGAR', 'NTR NAGAR', 'LB NAGAR', 'CHINTHALKUNTA', 'PANAMA', 'VANASTHALIPURAM', 'KAMALA NAGAR', 'SUBHADRA NAGAR', 'SHARADHA NAGAR', 'SHANTHI NAGAR', 'BHAGYALATHA', 'RTC COLONY']"
20P,SECUNDERABAD,NAMPALLY,"['RATHIFILE', 'CHILKALGUDA', 'MUSHEERABAD', 'BOLAKPUR', 'PADMASHALI COLONY', 'GANDHI NAGAR', 'NTR STADIUM', 'SECRETARIAT', 'BIRLAMANDIR', 'ASSEMBLY', 'PUBLIC GARDEN']"
211,HAKIMPET,SECUNDERABAD,"['CISF', 'KOT TEMPLE', 'RISALABAZAR', 'SADANA MANDIR', 'CNT HOSPITAL', 'BOLLARAM', 'RAITHU BAZAR', 'ALWAL', 'LOTHUKUNTA', 'LAL BAZAR', 'THIRUMALGIRI', 'HANUMAN TEMPLE', 'KARKHANA', 'JBS', 'PATNY']"
211B,SECUNDERABAD,UDDAMARRI,"['PATNY', 'JBS', 'KHARKANA', 'THIRUMALGIRI', 'LALBAZAR', 'LOTHUKUNTA', 'ALWAL', 'BOLLARAM', 'CISF', 'HAKIMPET', 'SHAMIRPET', 'BABAGUDA', 'BOMMARASIPET', 'PONNAL', 'ADRASPALLY']"
211DMC,SECUNDERABAD,DMC GATE,"['PATNY', 'JBS', 'VIKRAMPURI', 'KHARKANA', 'THIRUMALGIRI', 'LALBAZAR', 'LOTHUKUNTA', 'ALWAL', 'LAKUDAWALA', 'BOLLARAM', 'CNT HOSPITAL', 'RISALA BAZAR', 'SUBGUARD ROOM']"
211DY,SECUNDERABAD,DEVARAYAMJAL,"['PATNY', 'JBS', 'VIKRAMPURI', 'KHARKANA', 'THIRUMALGIRI', 'LALBAZAR', 'LOTHUKUNTA', 'ALWAL', 'LAKUDAWALA', 'BOLLARAM', 'RISALA BAZAR', 'KOT TEMPLE', 'HAKIMPET', 'YAMJAL X ROAD', 'THUMKANTA']"
211E,IVY LEAGUE,SECUNDERABAD,"['BABAGUDA', 'UPPARAPALLY', 'DONGALA', 'THUMKANTA', 'YAMJAL', 'HAKIMPET', 'KOWKUR X ROAD', 'LAKUDAWALA', 'ALWAL', 'LOTHUKUNTA', 'LAL BAZAR', 'THIRUMALGIRI', 'KARKHANA', 'JBS', 'PATNY']"
211T,TURKAPALLY,SECUNDERABAD,"['MAJEEDPURI', 'ALLIABAD', 'SOUL DARGA', 'THUMKUNTA', 'YAMJAL', 'HAKIMPET', 'RISAL BAZAR', 'BOLLARAM', 'LAKADWALA', 'ALWAL', 'LOTHUKUNTA', 'LAL BAZAR', 'THIRUMALGIRI', 'KHARKANA', 'JBS', 'PATNY']"
212/702,WARGAL SARASWATHY TEMPLE,SECUNDERABAD,"['WARGAL', 'MULUGU', 'VANTIMAMDI', 'TURKAPALLY', 'MURAHARIPALLY', 'KOLTHUR', 'MEDCHAL', 'ALIYABAD', 'SHAMIRPET', 'THUMKUNTA', 'YAMJAL', 'HAKIMPET', 'KOWKUR', 'LAKUDAWALA', 'ALWAL', 'LOTHUKUNTA', 'LALBAZAR', 'KARKHANA', 'JBS', 'PATNY']"
216,BARKATPURA,BHEL-LINGAMPALLY,"['KACHIGUDA', 'KOTI', 'ABIDS', 'LAKDIKAPOOL', 'NMDC', 'MEHDIPATNAM', 'BRINDAVAN COLONY', 'KHAJAGUDA', 'GACHIBOWLI', 'IIIT', 'GACHIBOWLI', 'MASJID BANDA', 'LINGAMPALLY']"
216/118W,WAVEROCK,HAYATHNAGAR,"['INFOTECH', 'WIPRO CIRCLE', 'INFOSYS', 'IIIT', 'GACHIBOWLI', 'KHAJAGUDA', 'SHAIKPETNALA', 'TOLICHOWK', 'RETHI BOWLI', 'MEHDIPATNAM', 'NMDC', 'LAKDIKAPOOL', 'ASSEMBLY', 'KOTI', 'CHADARGHAT', 'MALAKPET', 'MOOSARAMBAGH', 'DILSUKHNAGAR', 'LB NAGAR', 'PANAMA']"
216K/L,LINGAMPALLY,MEHDIPATNAM,"['CHANDANAGAR', 'MADINAGUDA', 'ALLWYN', 'HAFFEZPET', 'KONDAPUR', 'ANJAIAH NAGAR', 'GACHIBOWLI', 'KHAJAGUDA', 'SHAIKPETNALA', 'TOLICHOWK', 'NANAL NAGAR']"
217,CBS,PATANCHERU,"['GANDHIBHAVAN', 'NAMPALLY', 'ASSEMBLY', 'LAKDIKAPOOL', 'MEHDIPATNAM', 'TOLICHOWK', 'KHAJAGUDA', 'GACHIBOWLI', 'IIIT', 'HCU', 'LINGAMPALLY', 'BHEL-LINGAMPALLY', 'RC PURAM', 'ICRISAT', 'ALWYN']"
217A,MEHDIPATNAM,GITAM UNIVERSITY,"['TOLICHOWKI', 'SHIAKPETNALA', 'KHAJAGUDA', 'TELECOM NAGAR', 'GACHIBOWLI', 'IIIT', 'HCU', 'LINGAMPALLY', 'BHEL', 'ASHOK NAGAR', 'BEERAMGUDA', 'ICRISAT', 'PATANCHERU', 'MUTHANGI', 'LAKDARAM', 'RUDRARAM']"
217C,FALAKNUMA,PATANCHERUVU,"['ALIABAD', 'LALDARWAZA', 'SHALIBANDA', 'CITY COLLEGE', 'CBS', 'GANDHI BHAWAN', 'NAMPALLY', 'LAKDIKAPOOL', 'MEHDIPATNAM', 'TOLICHOWKI', 'KHAJAGUDA', 'GACHIBOWLI', 'IIIT', 'HCU', 'LINGAMPALLY', 'BEERAMGUDA', 'ICRISAT']"
217D,PATANCHERUVU,DILSUKHNAGAR,"['RC PURAM', 'BEERAMGUDA', 'ASHOK NAGAR', 'LINGAMPALLY', 'HCU', 'GACHIBOWLI', 'IIIT', 'KHAJAGUDA', 'SHAIKPETNALA', 'TOLICHOWKI', 'MEHDIPATNAM', 'LAKDIKAPOOL', 'KOTI', 'CHADARGHAT', 'MALAKPET']"
218,MGBS,PATANCHERU,"['KOTI', 'ABIDS', 'NAMPALLY', 'ASSEMBLY', 'LAKDIKAPOOL', 'KHAIRTABAD', 'PUNJAGUTTA', 'AMEERPET', 'ERRAGADDA', 'MOOSAPET', 'KPHB', 'JNTU', 'MIYAPUR', 'MADEENAGUDA', 'LINGAMPALLY', 'BEERAMGUDA', 'ICRISAT', 'ALWYN']"
219,PATANCHERUVU,SECUNDERABAD,"['ALWYN', 'ICRISAT', 'BEERAMGUDA', 'LINGAMPALLY', 'GANGARAM', 'MADINAGUDA', 'ALWYN', 'MIYAPUR', 'HYDERNAGAR', 'JNTU', 'KUKATPALLY', 'FEROZGUDA', 'BOWENPALLY', 'TADBUND', 'PATNY']"
219/18C,ISNAPUR,CHENGICHERLA,"['PATANCHERUVU', 'ALWYN', 'BEERAMGUDA', 'LINGAMPALLY', 'GANGARAM', 'MADINAGUDA', 'ALWYN', 'MIYAPUR', 'HYDERNAGAR', 'KUAKTPALLY', 'BOWENPALLY', 'TADBUND', 'SECUNDERABAD', 'METTUGUDA', 'TARNAKA', 'HABSIGUDA', 'UPPAL', 'RTC COLONY']"
219/22G,GANDIMAISAMMA,PATANCHERUVU,"['SURARAM', 'JEEDEMETLA', 'SHAHPUR', 'HMT', 'QUTHBULLAPUR', 'CHINTAL', 'BALANAGAR', 'PRASHANTH NAGAR', 'KUKATPALLY', 'KPHB', 'NIZAMPET', 'HYDERNAGAR', 'MIYAPUR', 'ALLWYN', 'LINGAMPALLY', 'BEERAMGUDA', 'ICRISAT']"
21W,SECUNDERBAD ,WEST VENKATAPUR,"['PATNY', 'JBS', 'KARKHANA', 'LAL BAZAR', 'LOTHUKUNTA', 'VENKATAPUR']"
22/22K,HAKIMPET,RAJIV GRHUAKALPA,"['CISF', 'KOTESHWAR TEMPLE', 'KOWKUR', 'BHARATHNAGAR']"
22/24,HAKIMPET,ECIL,"['CISF', 'RISALBAZAR', 'BOLLARAM', 'LAKUDWALA', 'ALWAL', 'LOTHUKUNTA', 'LAL BAZAAR', 'RK PURAM', 'NEREDMET', 'SAINIKPURI', 'SHARADA', 'KAMLA NAGAR']"
220G/505T,MEHDIPATNAM,SHANKARPALLY,"['LANGAR HOUSE', 'TIIPU KHAN', 'RAMDEVGUDA', 'IBRAHIM BAGH', 'TARAMATHI', 'MANCHIREVULA', 'KOKAPET', 'GANDIPET', 'CBIT', 'KHANAPUR', 'MIYAKHAN', 'JANWADA', 'PRODDUTUR', 'TANGUTOOR', 'YELAVARTHY', 'CHANDIPPA']"
220K,KOLLUR,BHEL,"['OSMAN NAGAR', 'TELLAPUR', 'INDIRA NAGAR', 'NALLAGANDLA']"
220V,KHANAPUR,BHEL,"['VATTE NAGULAPALLY', 'WIPRO', 'GOPANPALLY', 'NALLAGANDLA']"
221G/M,APPA,HCU DEPOT,"['NARSINGI', 'GACHIBOWLI', 'HCU']"
222M,MIYAPUR,MAYURINAGAR,[]
224/219,MIYAPUR,PATANCHERUVU,"['ALLWYN', 'DEEPTHI SRI NAGAR', 'GANGARAM', 'CHANDANAGAR', 'LINGAMPALLY', 'JYOTHI NAGAR', 'ASHOK NAGAR', 'RC PURAM', 'ICRISAT']"
224G/229,MEDCHAL,PATANCHERUVU,"['KIRLOSKAR', 'KANDLAKOYA', 'GUNDLA PACHAMPALLY', 'KOMPALLY BRIDGE', 'KOMPALLY', 'APPAREL', 'MAISAMMAGUDA', 'BAHADURAPALLY', 'GANDIMAISAMMA', 'SURARAM', 'PRAGATHI NAGAR', 'BACHUPALLY', 'MAKTA', 'MIYAPUR', 'ALLWYN', 'LINGAMPALLY', 'ASHOK NAGAR', 'BEERAMGUDA', 'ICRISAT']"
224L,MIYAPUR,LINGAMPALLY,"['GANGARAM', 'CHANDANAGAR']"
224M/N,NIZAMPET,MALLAPET,"['RAJEEV GANDHI NAGAR', 'BACHUPALLY']"
224X,BOLARAM,MIYAPUR,"['GANDHI STATUE', 'BOLARAM', 'IDA X ROAD', 'MAYURI NAGAR', 'MAKTA', 'BBW', 'JPNAGAR']"
227G,MEDCHAL,GANDIMAISAMMA,"['SUTHARIGUDA', 'AYODHYA X ROADS', 'BASURAGADI']"
227GP,MEDCHAL,BAHADURPALLY,"['SUTHARIGUDA', 'AYODHYA X ROADS', 'GUNDLAPOCHAM PALLY', 'MAISAMMAGUDA', 'RAMALAYAM']"
229,MEDHCHAL,SECUNDERABAD,"['KIRLOSKAR', 'KANDLAKOYA', 'GUNDLA POCHAMPALLY', 'KOMPALLY', 'NCL NORTH', 'ANGADIPET', 'JEEDIMETLA', 'SUCHITRA', 'NANDAMURI NAGAR', 'BOWENPALLY', 'TADBUND', 'PARADISE', 'PATNY']"
229K,MEDCHAL,KALLAKAL,"['ATHVELLY', 'RAVALKOL', 'YELLAMPET', 'DABILPUR']"
22D,SECUNDERABAD,SAMALA LAXMI NAGAR,"['PATNY', 'JBS', 'KAHRKANA', 'THIRUMALGIRI', 'LAL BAZAR', 'LOTHUKUNTA', 'ALWAL', 'LAKUDAWALA', 'BOLLARAM', 'RISALA BAZAR', 'KOWKUR']"
230,DUNDIGAL,GANDIMAISAMMA,['POCHAMPALLY']
230P,DUNDIGAL,SECUNDERABAD,"['POCHAMPALLY', 'GANDIMAISAMMA', 'BAHADURAPALLY', 'SURARAM', 'JEEDEMETLA', 'GAJULARAMARAM', 'QUTHBULLAPUR', 'IDPL COLONY', 'BOWENPALLY', 'THOKATTA', 'TADBUND', 'PATNY']"
233,NUTHANKAL,SECUNDERABAD,"['SRIRANGAVARAM', 'BANDAMADARAM', 'RAILAPUR', 'GOUDAVELLY', 'GUNDLAPOCHAMPALLY', 'KOMPALLY', 'NCL NORTH', 'ANGADIPET', 'JEEDIMETLA', 'SUCHITRA', 'BOWENPALLY', 'TADBUND', 'PARADISE', 'PATNY']"
233GM,RAILAPUR,MEDCHAL,"['BANDAMADARAM', 'SRIRANGAVARAM', 'NUTHANKAL', 'DABILPUR', 'YELLAMPET', 'RAVALKOL', 'ATHVELLY']"
234A,MEDCHAL,ALIYABAD,"['KISTAPUR', 'RAVALKOLE', 'PUDUR', 'RAJBOLLARAM', 'MEDCHAL']"
234T,MEDCHAL,TURKAPALLY,"['KISTAPUR', 'RAVALKOLE', 'PUDUR', 'RAJBOLLARAM', 'YADARAM', 'MURARIPALLY']"
235G,MEDCHAL,GOWDAVELLY,"['SUTHARIGUDA', 'MILE STONE GOWDAVELLY']"
23B,SECUNDERABAD,BHUDEVI NAGAR,"['PATNY', 'JBS', 'VIKRAMPUR', 'KHARKANA', 'DGQA', 'RTC COLONY', 'KABELA', 'TEACHERS COLONY', 'SUBHASH NAGAR']"
23GF,GREENFIELD,SECUNDERABAD,"['INDIRANAGAR', 'KANAJIGUDA', 'SUBASH NAGAR', 'TEACHERS COLONY', 'LALBAZAR', 'THIRUMALGIRI', 'KARKHANA', 'VIKRAMPURI', 'JBS', 'PATNY']"
241T,DHARMARAM,BLUESEA,"['THIMMAIPALLY', 'NARSAMPALLY', 'DRDO', 'YADGARPALLY', 'CHEERYAL', 'BANDLAGUDA', 'NAGARAM', 'CHAKRIPURAM', 'KUSHAIGUDA', 'ECIL', 'MOULALI', 'INDIRANAGAR', 'INDUSTRIAL ESTATE', 'LALAPET', 'TARNAKA', 'METTUGUDA', 'ALUGADDA']"
242,ECIL,KEESARAGUTTA,"['KUSHAIGUDA', 'CHAKRIPURAM', 'NAGARAM', 'DAMMAIGUDA', 'RAMPALLY', 'BANDLAGUDA', 'CHEERYAL', 'KUNDANPALLY', 'KEESARA']"
242DM,DONGALA MAISAMMA,BLUESEA,"['MEDCHAL', 'ANTHAIPALLY', 'DHARMARAM', 'THIMMAIPALLY', 'NARSAMPALLY', 'DRDO', 'YADGARPALLY', 'KEESARA', 'KUNDANPALLY', 'CHEERYAL', 'BANDLAGUDA', 'DAMMAIGUDA', 'NAGARAM', 'CHAKRIPURAM', 'KUSHAIGUDA', 'ECIL', 'MOULALI', 'INDIRA NAGAR', 'LALAPET', 'TARNAKA', 'METTUGUDA']"
242YA,DRDO,ARAMGHAR,"['CHERYAL', 'BANDLAGUDA', 'RAMPALLY', 'KUSHAIGUDA', 'ECIL', 'HMT NAGAR', 'UPPAL', 'NAGOLE', 'ALKAPURI', 'LB NAGAR', 'TKR KAMAN', 'CHAMPAPET', 'PISAL BANDA', 'CHANDRAYANGUTTA', 'BANDLAGUDA', 'MAILARDEVPALLY']"
